back	back	RB	B-DIS	0	4		3000473
pain	pain	VBP	I-DIS	5	9	 	3000473
,	,	,	O	9	10		3000473
aching	ache	VBG	B-DIS	11	17	 	3000473
joints	joint	NNS	I-DIS	18	24	 	3000473
and	and	CC	I-DIS	25	28	 	3000473
muscles	muscle	NNS	I-DIS	29	36	 	3000473
,	,	,	O	36	37		3000473
flatulence	flatulence	NN	B-DIS	38	48	 	3000473
and	and	CC	O	49	52	 	3000473
wind	wind	NN	B-DIS	53	57	 	3000473
,	,	,	O	57	58		3000473
hair	hair	NN	B-DIS	58	62		3000473
loss	loss	NN	I-DIS	63	67	 	3000473
.	.	.	O	67	68		3000473

very	very	RB	O	0	4		3000108
minor	minor	JJ	O	5	10	 	3000108
--	--	:	O	10	12		3000108
slight	slight	JJ	B-DIS	12	18		3000108
nausea	nausea	NN	I-DIS	19	25	 	3000108
when	when	WRB	O	26	30	 	3000108
taken	take	VBN	O	31	36	 	3000108
on	on	IN	O	37	39	 	3000108
empty	empty	NN	O	40	45	 	3000108
stomach	stomach	NN	O	46	53	 	3000108
--	--	:	O	53	55		3000108
which	which	WDT	O	55	60		3000108
was	be	VBD	O	61	64	 	3000108
gone	go	VBN	O	65	69	 	3000108
in	in	IN	O	70	72	 	3000108
15	15	CD	O	73	75	 	3000108
minutes	minute	NNS	O	76	83	 	3000108
.	.	.	O	83	84		3000108
gave	give	VBD	O	85	89	 	3000108
me	me	PRP	O	90	92	 	3000108
my	my	PRP$	O	93	95	 	3000108
life	life	NN	O	96	100	 	3000108
back	back	RB	O	101	105	 	3000108
.	.	.	O	105	106		3000108
concerned	concern	VBN	O	107	116	 	3000108
about	about	IN	O	117	122	 	3000108
long	long	RB	O	123	127	 	3000108
term	term	JJ	O	128	132	 	3000108
effects	effect	NNS	O	133	140	 	3000108
.	.	.	O	140	141		3000108

took	take	VBD	O	0	4		3000309
Lipitor	lipitor	NN	B-DRUG	5	12	 	3000309
for	for	IN	O	13	16	 	3000309
over	over	IN	O	17	21	 	3000309
a	a	DT	O	22	23	 	3000309
year	year	NN	O	24	28	 	3000309
with	with	IN	O	29	33	 	3000309
no	no	DT	O	34	36	 	3000309
negative	negative	JJ	O	37	45	 	3000309
effects	effect	NNS	O	46	53	 	3000309
,	,	,	O	53	54		3000309
then	then	RB	O	55	59	 	3000309
gradually	gradually	RB	O	60	69	 	3000309
developed	develop	VBD	O	70	79	 	3000309
terrible	terrible	JJ	O	80	88	 	3000309
joint	joint	NN	B-DIS	89	94	 	3000309
pain	pain	NN	I-DIS	95	99	 	3000309
,	,	,	O	99	100		3000309
